principal,apr,term_months,btc_percentage,payment_day,monthly_payment,btc_monthly_amount,total_payments,total_interest,total_btc_investment,btc_accumulated,final_btc_value,net_btc_position,roi_percentage,effective_cost,start_date,end_date
20000.0,5.99,48.0,7.5,15,469.6088907549834,35.220666806623754,22541.226756239204,2541.2267562392044,1690.5920067179397,0.03374407974687031,4750.346447221491,3059.7544405035515,180.98715883814327,-518.527684264347,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,48.0,10.0,15,469.6088907549834,46.96088907549834,22541.226756239204,2541.2267562392044,2254.122675623919,0.044992106329160404,6333.795262961987,4079.672587338068,180.9871588381433,-1538.4458310988634,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,48.0,12.5,15,469.6088907549834,58.701111344372926,22541.226756239204,2541.2267562392044,2817.653344529899,0.056240132911450524,7917.244078702486,5099.590734172587,180.98715883814333,-2558.3639779333826,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,48.0,15.0,15,469.6088907549834,70.44133361324751,22541.226756239204,2541.2267562392044,3381.1840134358795,0.06748815949374062,9500.692894442982,6119.508881007103,180.98715883814327,-3578.2821247678985,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,60.0,5.0,15,386.56303996871304,19.328151998435654,23193.78239812278,3193.782398122781,1159.6891199061383,0.03685664105582896,5188.519444283062,4028.8303243769233,347.4060638512332,-835.0479262541421,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,60.0,7.5,15,386.56303996871304,28.992227997653476,23193.78239812278,3193.782398122781,1739.5336798592105,0.05528496158374345,7782.779166424593,6043.245486565383,347.4060638512325,-2849.4630884426015,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,60.0,10.0,15,386.56303996871304,38.65630399687131,23193.78239812278,3193.782398122781,2319.3782398122767,0.07371328211165792,10377.038888566123,8057.6606487538465,347.4060638512332,-4863.878250631065,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,60.0,12.5,15,386.56303996871304,48.32037999608913,23193.78239812278,3193.782398122781,2899.2227997653495,0.09214160263957245,12971.298610707661,10072.075810942311,347.4060638512329,-6878.29341281953,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,60.0,15.0,15,386.56303996871304,57.98445599530695,23193.78239812278,3193.782398122781,3479.067359718421,0.1105699231674869,15565.558332849187,12086.490973130765,347.4060638512325,-8892.708575007984,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,72.0,5.0,15,331.36335715016907,16.568167857508453,23858.161714812173,3858.161714812173,1192.9080857406075,0.055883230031880005,7867.000825998931,6674.092740258324,559.4808870890305,-2815.9310254461507,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,72.0,7.5,15,331.36335715016907,24.85225178626268,23858.161714812173,3858.161714812173,1789.3621286109137,0.08382484504782,11800.501238998397,10011.139110387483,559.4808870890296,-6152.97739557531,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,72.0,10.0,15,331.36335715016907,33.136335715016905,23858.161714812173,3858.161714812173,2385.816171481215,0.11176646006376001,15734.001651997862,13348.185480516648,559.4808870890305,-9490.023765704474,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,72.0,12.5,15,331.36335715016907,41.42041964377113,23858.161714812173,3858.161714812173,2982.270214351524,0.13970807507969998,19667.502064997323,16685.2318506458,559.4808870890292,-12827.070135833626,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,72.0,15.0,15,331.36335715016907,49.70450357252536,23858.161714812173,3858.161714812173,3578.7242572218274,0.16764969009564,23601.002477996793,20022.278220774966,559.4808870890296,-16164.116505962793,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,6.99,48.0,5.0,15,478.83210875187797,23.9416054375939,22983.941220090142,2983.9412200901425,1149.1970610045073,0.02293788040953096,3229.0961711680075,2079.8991101635,180.9871588381431,904.0421099266423,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,6.99,48.0,7.5,15,478.83210875187797,35.912408156390846,22983.941220090142,2983.9412200901425,1723.795591506762,0.03440682061429645,4843.6442567520135,3119.848665245251,180.98715883814305,-135.9074451551087,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,6.99,48.0,10.0,15,478.83210875187797,47.8832108751878,22983.941220090142,2983.9412200901425,2298.3941220090146,0.04587576081906192,6458.192342336015,4159.798220327,180.9871588381431,-1175.8570002368579,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,6.99,48.0,12.5,15,478.83210875187797,59.854013593984746,22983.941220090142,2983.9412200901425,2872.992652511268,0.05734470102382739,8072.740427920018,5199.74777540875,180.98715883814316,-2215.806555318608,2020-11-25 23:00:00,2024-11-25 23:00:00
